ID,Block,Category,Subcategory,Status
357,"Beauty, Fitness & Recovery",Cosmetology & Aesthetic Medicine,Facial Cleansing,ACTIVE
358,"Beauty, Fitness & Recovery",Cosmetology & Aesthetic Medicine,Chemical Peels,ACTIVE
359,"Beauty, Fitness & Recovery",Cosmetology & Aesthetic Medicine,Injectable Aesthetics,ACTIVE
360,"Beauty, Fitness & Recovery",Cosmetology & Aesthetic Medicine,Device-Based Cosmetology,ACTIVE
361,"Beauty, Fitness & Recovery",Cosmetology & Aesthetic Medicine,Laser Treatments,ACTIVE
362,"Beauty, Fitness & Recovery",Cosmetology & Aesthetic Medicine,Dermal Fillers,ACTIVE
363,"Beauty, Fitness & Recovery",Cosmetology & Aesthetic Medicine,Skin Rejuvenation,ACTIVE
364,"Beauty, Fitness & Recovery",Cosmetology & Aesthetic Medicine,Acne Treatment,ACTIVE
365,"Beauty, Fitness & Recovery",Cosmetology & Aesthetic Medicine,Individual Service,ACTIVE
366,"Beauty, Fitness & Recovery",Manicure & Pedicure,Individual Service,ACTIVE
367,"Beauty, Fitness & Recovery",Manicure & Pedicure,Comprehensive Program,ACTIVE
368,"Beauty, Fitness & Recovery",Manicure & Pedicure,Express Service,ACTIVE
369,"Beauty, Fitness & Recovery",Manicure & Pedicure,Personal Support,ACTIVE
370,"Beauty, Fitness & Recovery",Manicure & Pedicure,Group Classes,ACTIVE
371,"Beauty, Fitness & Recovery",Manicure & Pedicure,Services for Men,ACTIVE
372,"Beauty, Fitness & Recovery",Manicure & Pedicure,Services for Women,ACTIVE
373,"Beauty, Fitness & Recovery",Manicure & Pedicure,Children's Programs,ACTIVE
374,"Beauty, Fitness & Recovery",Manicure & Pedicure,On-Site Service,ACTIVE
375,"Beauty, Fitness & Recovery",Manicure & Pedicure,Online Format,ACTIVE
376,"Beauty, Fitness & Recovery",Spa & Wellness,Individual Service,ACTIVE
377,"Beauty, Fitness & Recovery",Spa & Wellness,Comprehensive Program,ACTIVE
378,"Beauty, Fitness & Recovery",Spa & Wellness,Express Service,ACTIVE
379,"Beauty, Fitness & Recovery",Spa & Wellness,Personal Support,ACTIVE
380,"Beauty, Fitness & Recovery",Spa & Wellness,Group Classes,ACTIVE
381,"Beauty, Fitness & Recovery",Spa & Wellness,Services for Men,ACTIVE
382,"Beauty, Fitness & Recovery",Spa & Wellness,Services for Women,ACTIVE
383,"Beauty, Fitness & Recovery",Spa & Wellness,Children's Programs,ACTIVE
384,"Beauty, Fitness & Recovery",Spa & Wellness,On-Site Service,ACTIVE
385,"Beauty, Fitness & Recovery",Spa & Wellness,Online Format,ACTIVE
386,"Beauty, Fitness & Recovery",Massage,Individual Service,ACTIVE
387,"Beauty, Fitness & Recovery",Massage,Comprehensive Program,ACTIVE
388,"Beauty, Fitness & Recovery",Massage,Express Service,ACTIVE
389,"Beauty, Fitness & Recovery",Massage,Personal Support,ACTIVE
390,"Beauty, Fitness & Recovery",Massage,Group Classes,ACTIVE
391,"Beauty, Fitness & Recovery",Massage,Services for Men,ACTIVE
392,"Beauty, Fitness & Recovery",Massage,Services for Women,ACTIVE
393,"Beauty, Fitness & Recovery",Massage,Children's Programs,ACTIVE
394,"Beauty, Fitness & Recovery",Massage,On-Site Service,ACTIVE
395,"Beauty, Fitness & Recovery",Massage,Online Format,ACTIVE
396,"Beauty, Fitness & Recovery",Fitness Clubs,Gym,ACTIVE
397,"Beauty, Fitness & Recovery",Fitness Clubs,Group Fitness,ACTIVE
398,"Beauty, Fitness & Recovery",Fitness Clubs,Functional Training,ACTIVE
399,"Beauty, Fitness & Recovery",Fitness Clubs,Strength Training,ACTIVE
400,"Beauty, Fitness & Recovery",Fitness Clubs,Cardio Training,ACTIVE
401,"Beauty, Fitness & Recovery",Fitness Clubs,Weight Loss,ACTIVE
402,"Beauty, Fitness & Recovery",Fitness Clubs,Children's Fitness,ACTIVE
403,"Beauty, Fitness & Recovery",Fitness Clubs,Corporate Fitness,ACTIVE
404,"Beauty, Fitness & Recovery",Fitness Clubs,Online Training,ACTIVE
405,"Beauty, Fitness & Recovery",Fitness Clubs,Individual Service,ACTIVE
406,"Beauty, Fitness & Recovery",Personal Trainers,Individual Service,ACTIVE
407,"Beauty, Fitness & Recovery",Personal Trainers,Comprehensive Program,ACTIVE
408,"Beauty, Fitness & Recovery",Personal Trainers,Express Service,ACTIVE
409,"Beauty, Fitness & Recovery",Personal Trainers,Personal Support,ACTIVE
410,"Beauty, Fitness & Recovery",Personal Trainers,Group Classes,ACTIVE
411,"Beauty, Fitness & Recovery",Personal Trainers,Services for Men,ACTIVE
412,"Beauty, Fitness & Recovery",Personal Trainers,Services for Women,ACTIVE
413,"Beauty, Fitness & Recovery",Personal Trainers,Children's Programs,ACTIVE
414,"Beauty, Fitness & Recovery",Personal Trainers,On-Site Service,ACTIVE
415,"Beauty, Fitness & Recovery",Personal Trainers,Online Format,ACTIVE
416,"Beauty, Fitness & Recovery",Yoga & Pilates,Individual Service,ACTIVE
417,"Beauty, Fitness & Recovery",Yoga & Pilates,Comprehensive Program,ACTIVE
418,"Beauty, Fitness & Recovery",Yoga & Pilates,Express Service,ACTIVE
419,"Beauty, Fitness & Recovery",Yoga & Pilates,Personal Support,ACTIVE
420,"Beauty, Fitness & Recovery",Yoga & Pilates,Group Classes,ACTIVE
421,"Beauty, Fitness & Recovery",Yoga & Pilates,Services for Men,ACTIVE
422,"Beauty, Fitness & Recovery",Yoga & Pilates,Services for Women,ACTIVE
423,"Beauty, Fitness & Recovery",Yoga & Pilates,Children's Programs,ACTIVE
424,"Beauty, Fitness & Recovery",Yoga & Pilates,On-Site Service,ACTIVE
425,"Beauty, Fitness & Recovery",Yoga & Pilates,Online Format,ACTIVE
426,"Beauty, Fitness & Recovery",Dance Studios,Individual Service,ACTIVE
427,"Beauty, Fitness & Recovery",Dance Studios,Comprehensive Program,ACTIVE
428,"Beauty, Fitness & Recovery",Dance Studios,Express Service,ACTIVE
429,"Beauty, Fitness & Recovery",Dance Studios,Personal Support,ACTIVE
430,"Beauty, Fitness & Recovery",Dance Studios,Group Classes,ACTIVE
431,"Beauty, Fitness & Recovery",Dance Studios,Services for Men,ACTIVE
432,"Beauty, Fitness & Recovery",Dance Studios,Services for Women,ACTIVE
433,"Beauty, Fitness & Recovery",Dance Studios,Children's Programs,ACTIVE
434,"Beauty, Fitness & Recovery",Dance Studios,On-Site Service,ACTIVE
435,"Beauty, Fitness & Recovery",Dance Studios,Online Format,ACTIVE
436,"Beauty, Fitness & Recovery",Rehabilitation & Physiotherapy,Individual Service,ACTIVE
437,"Beauty, Fitness & Recovery",Rehabilitation & Physiotherapy,Comprehensive Program,ACTIVE
438,"Beauty, Fitness & Recovery",Rehabilitation & Physiotherapy,Express Service,ACTIVE
439,"Beauty, Fitness & Recovery",Rehabilitation & Physiotherapy,Personal Support,ACTIVE
440,"Beauty, Fitness & Recovery",Rehabilitation & Physiotherapy,Group Classes,ACTIVE
441,"Beauty, Fitness & Recovery",Rehabilitation & Physiotherapy,Services for Men,ACTIVE
442,"Beauty, Fitness & Recovery",Rehabilitation & Physiotherapy,Services for Women,ACTIVE
443,"Beauty, Fitness & Recovery",Rehabilitation & Physiotherapy,Children's Programs,ACTIVE
444,"Beauty, Fitness & Recovery",Rehabilitation & Physiotherapy,On-Site Service,ACTIVE
445,"Beauty, Fitness & Recovery",Rehabilitation & Physiotherapy,Online Format,ACTIVE
446,"Real Estate, Construction & Home Services",Real Estate Agencies,Residential Property Sales,ACTIVE
447,"Real Estate, Construction & Home Services",Real Estate Agencies,Residential Property Purchase,ACTIVE
448,"Real Estate, Construction & Home Services",Real Estate Agencies,Residential Rentals,ACTIVE
449,"Real Estate, Construction & Home Services",Real Estate Agencies,Commercial Real Estate,ACTIVE
450,"Real Estate, Construction & Home Services",Real Estate Agencies,New Developments,ACTIVE
451,"Real Estate, Construction & Home Services",Real Estate Agencies,Country Properties,ACTIVE
452,"Real Estate, Construction & Home Services",Real Estate Agencies,Land Plots,ACTIVE
453,"Real Estate, Construction & Home Services",Real Estate Agencies,Investment Property,ACTIVE
454,"Real Estate, Construction & Home Services",Real Estate Agencies,International Real Estate,ACTIVE
455,"Real Estate, Construction & Home Services",Real Estate Agencies,Luxury Real Estate,ACTIVE
456,"Real Estate, Construction & Home Services",Property Management,Consultation & Assessment,ACTIVE
457,"Real Estate, Construction & Home Services",Property Management,Design & Planning,ACTIVE
458,"Real Estate, Construction & Home Services",Property Management,Installation,ACTIVE
459,"Real Estate, Construction & Home Services",Property Management,Repair,ACTIVE
460,"Real Estate, Construction & Home Services",Property Management,Reconstruction,ACTIVE
461,"Real Estate, Construction & Home Services",Property Management,Maintenance,ACTIVE
462,"Real Estate, Construction & Home Services",Property Management,Emergency Call-Out,ACTIVE
463,"Real Estate, Construction & Home Services",Property Management,Turnkey Services,ACTIVE
464,"Real Estate, Construction & Home Services",Property Management,Residential Properties,ACTIVE
465,"Real Estate, Construction & Home Services",Property Management,Commercial Properties,ACTIVE
466,"Real Estate, Construction & Home Services",Real Estate Development & Investment Projects,Consultation & Assessment,ACTIVE
467,"Real Estate, Construction & Home Services",Real Estate Development & Investment Projects,Design & Planning,ACTIVE
468,"Real Estate, Construction & Home Services",Real Estate Development & Investment Projects,Installation,ACTIVE
469,"Real Estate, Construction & Home Services",Real Estate Development & Investment Projects,Repair,ACTIVE
470,"Real Estate, Construction & Home Services",Real Estate Development & Investment Projects,Reconstruction,ACTIVE
471,"Real Estate, Construction & Home Services",Real Estate Development & Investment Projects,Maintenance,ACTIVE
472,"Real Estate, Construction & Home Services",Real Estate Development & Investment Projects,Emergency Call-Out,ACTIVE
473,"Real Estate, Construction & Home Services",Real Estate Development & Investment Projects,Turnkey Services,ACTIVE
474,"Real Estate, Construction & Home Services",Real Estate Development & Investment Projects,Residential Properties,ACTIVE
475,"Real Estate, Construction & Home Services",Real Estate Development & Investment Projects,Commercial Properties,ACTIVE
476,"Real Estate, Construction & Home Services",Real Estate Development & Investment Projects,Industrial Properties,ACTIVE
477,"Real Estate, Construction & Home Services",Real Estate Development & Investment Projects,Design or Technical Supervision,ACTIVE
478,"Real Estate, Construction & Home Services",General Contractors,Consultation & Assessment,ACTIVE
479,"Real Estate, Construction & Home Services",General Contractors,Design & Planning,ACTIVE
480,"Real Estate, Construction & Home Services",General Contractors,Installation,ACTIVE
481,"Real Estate, Construction & Home Services",General Contractors,Repair,ACTIVE
482,"Real Estate, Construction & Home Services",General Contractors,Reconstruction,ACTIVE
483,"Real Estate, Construction & Home Services",General Contractors,Maintenance,ACTIVE
484,"Real Estate, Construction & Home Services",General Contractors,Emergency Call-Out,ACTIVE
485,"Real Estate, Construction & Home Services",General Contractors,Turnkey Services,ACTIVE
486,"Real Estate, Construction & Home Services",General Contractors,Residential Properties,ACTIVE
487,"Real Estate, Construction & Home Services",General Contractors,Commercial Properties,ACTIVE
488,"Real Estate, Construction & Home Services",Architecture & Design,Consultation & Assessment,ACTIVE
489,"Real Estate, Construction & Home Services",Architecture & Design,Design & Planning,ACTIVE
490,"Real Estate, Construction & Home Services",Architecture & Design,Installation,ACTIVE
491,"Real Estate, Construction & Home Services",Architecture & Design,Repair,ACTIVE
492,"Real Estate, Construction & Home Services",Architecture & Design,Reconstruction,ACTIVE
493,"Real Estate, Construction & Home Services",Architecture & Design,Maintenance,ACTIVE
494,"Real Estate, Construction & Home Services",Architecture & Design,Emergency Call-Out,ACTIVE
495,"Real Estate, Construction & Home Services",Architecture & Design,Turnkey Services,ACTIVE
496,"Real Estate, Construction & Home Services",Architecture & Design,Residential Properties,ACTIVE
497,"Real Estate, Construction & Home Services",Architecture & Design,Commercial Properties,ACTIVE
498,"Real Estate, Construction & Home Services",Interior Design,Brand Identity,ACTIVE
499,"Real Estate, Construction & Home Services",Interior Design,Logo,ACTIVE
500,"Real Estate, Construction & Home Services",Interior Design,Brand Guidelines,ACTIVE
501,"Real Estate, Construction & Home Services",Interior Design,Graphic Design,ACTIVE
502,"Real Estate, Construction & Home Services",Interior Design,Web Design,ACTIVE
503,"Real Estate, Construction & Home Services",Interior Design,Packaging Design,ACTIVE
504,"Real Estate, Construction & Home Services",Interior Design,Marketing Materials,ACTIVE
505,"Real Estate, Construction & Home Services",Interior Design,Presentations,ACTIVE
506,"Real Estate, Construction & Home Services",Interior Design,UX/UI Design,ACTIVE
507,"Real Estate, Construction & Home Services",Interior Design,Consultation & Assessment,ACTIVE
508,"Real Estate, Construction & Home Services",Renovation & Finishing,Consultation & Assessment,ACTIVE
509,"Real Estate, Construction & Home Services",Renovation & Finishing,Design & Planning,ACTIVE
510,"Real Estate, Construction & Home Services",Renovation & Finishing,Installation,ACTIVE
511,"Real Estate, Construction & Home Services",Renovation & Finishing,Repair,ACTIVE
512,"Real Estate, Construction & Home Services",Renovation & Finishing,Reconstruction,ACTIVE
513,"Real Estate, Construction & Home Services",Renovation & Finishing,Maintenance,ACTIVE
514,"Real Estate, Construction & Home Services",Renovation & Finishing,Emergency Call-Out,ACTIVE
515,"Real Estate, Construction & Home Services",Renovation & Finishing,Turnkey Services,ACTIVE
516,"Real Estate, Construction & Home Services",Renovation & Finishing,Residential Properties,ACTIVE
517,"Real Estate, Construction & Home Services",Renovation & Finishing,Commercial Properties,ACTIVE
518,"Real Estate, Construction & Home Services",Electricians,Electrical Wiring Installation,ACTIVE
519,"Real Estate, Construction & Home Services",Electricians,Electrical Wiring Repair,ACTIVE
520,"Real Estate, Construction & Home Services",Electricians,Electrical Panels,ACTIVE
521,"Real Estate, Construction & Home Services",Electricians,Lighting,ACTIVE
522,"Real Estate, Construction & Home Services",Electricians,Emergency Electrician,ACTIVE
523,"Real Estate, Construction & Home Services",Electricians,Commercial Properties,ACTIVE
524,"Real Estate, Construction & Home Services",Electricians,Industrial Electrical Installation,ACTIVE
525,"Real Estate, Construction & Home Services",Electricians,EV Charging Stations,ACTIVE
526,"Real Estate, Construction & Home Services",Electricians,Smart Home,ACTIVE
527,"Real Estate, Construction & Home Services",Electricians,Consultation & Assessment,ACTIVE
528,"Real Estate, Construction & Home Services",Plumbers,Leak Repair,ACTIVE
529,"Real Estate, Construction & Home Services",Plumbers,Pipe Installation,ACTIVE
530,"Real Estate, Construction & Home Services",Plumbers,Sewer Repair,ACTIVE
531,"Real Estate, Construction & Home Services",Plumbers,Drain Cleaning,ACTIVE
532,"Real Estate, Construction & Home Services",Plumbers,Plumbing Fixture Installation,ACTIVE
533,"Real Estate, Construction & Home Services",Plumbers,Water Heaters,ACTIVE
534,"Real Estate, Construction & Home Services",Plumbers,Emergency Plumber,ACTIVE
535,"Real Estate, Construction & Home Services",Plumbers,Commercial Plumbing,ACTIVE
536,"Real Estate, Construction & Home Services",Plumbers,Leak detection,ACTIVE
537,"Real Estate, Construction & Home Services",Plumbers,Consultation & Assessment,ACTIVE
538,"Real Estate, Construction & Home Services","HVAC: Heating, Ventilation & Air Conditioning",Air Conditioning Installation,ACTIVE
539,"Real Estate, Construction & Home Services","HVAC: Heating, Ventilation & Air Conditioning",Air Conditioning Repair,ACTIVE
540,"Real Estate, Construction & Home Services","HVAC: Heating, Ventilation & Air Conditioning",Heating Installation,ACTIVE
541,"Real Estate, Construction & Home Services","HVAC: Heating, Ventilation & Air Conditioning",Heating Repair,ACTIVE
542,"Real Estate, Construction & Home Services","HVAC: Heating, Ventilation & Air Conditioning",Ventilation,ACTIVE
543,"Real Estate, Construction & Home Services","HVAC: Heating, Ventilation & Air Conditioning",Heat Pumps,ACTIVE
544,"Real Estate, Construction & Home Services","HVAC: Heating, Ventilation & Air Conditioning",HVAC Maintenance,ACTIVE
545,"Real Estate, Construction & Home Services","HVAC: Heating, Ventilation & Air Conditioning",Commercial HVAC Systems,ACTIVE
546,"Real Estate, Construction & Home Services","HVAC: Heating, Ventilation & Air Conditioning",Emergency HVAC,ACTIVE
547,"Real Estate, Construction & Home Services","HVAC: Heating, Ventilation & Air Conditioning",Consultation & Assessment,ACTIVE
548,"Real Estate, Construction & Home Services",Roofing,Consultation & Assessment,ACTIVE
549,"Real Estate, Construction & Home Services",Roofing,Design & Planning,ACTIVE
550,"Real Estate, Construction & Home Services",Roofing,Installation,ACTIVE
551,"Real Estate, Construction & Home Services",Roofing,Repair,ACTIVE
552,"Real Estate, Construction & Home Services",Roofing,Reconstruction,ACTIVE
553,"Real Estate, Construction & Home Services",Roofing,Maintenance,ACTIVE
554,"Real Estate, Construction & Home Services",Roofing,Emergency Call-Out,ACTIVE
555,"Real Estate, Construction & Home Services",Roofing,Turnkey Services,ACTIVE
556,"Real Estate, Construction & Home Services",Roofing,Residential Properties,ACTIVE
557,"Real Estate, Construction & Home Services",Roofing,Commercial Properties,ACTIVE
558,"Real Estate, Construction & Home Services","Windows, Doors & Glass",Consultation & Assessment,ACTIVE
559,"Real Estate, Construction & Home Services","Windows, Doors & Glass",Design & Planning,ACTIVE
560,"Real Estate, Construction & Home Services","Windows, Doors & Glass",Installation,ACTIVE
561,"Real Estate, Construction & Home Services","Windows, Doors & Glass",Repair,ACTIVE
562,"Real Estate, Construction & Home Services","Windows, Doors & Glass",Reconstruction,ACTIVE
563,"Real Estate, Construction & Home Services","Windows, Doors & Glass",Maintenance,ACTIVE
564,"Real Estate, Construction & Home Services","Windows, Doors & Glass",Emergency Call-Out,ACTIVE
565,"Real Estate, Construction & Home Services","Windows, Doors & Glass",Turnkey Services,ACTIVE
566,"Real Estate, Construction & Home Services","Windows, Doors & Glass",Residential Properties,ACTIVE
567,"Real Estate, Construction & Home Services","Windows, Doors & Glass",Commercial Properties,ACTIVE
568,"Real Estate, Construction & Home Services",Joinery & Carpentry,Consultation & Assessment,ACTIVE
569,"Real Estate, Construction & Home Services",Joinery & Carpentry,Design & Planning,ACTIVE
570,"Real Estate, Construction & Home Services",Joinery & Carpentry,Installation,ACTIVE
571,"Real Estate, Construction & Home Services",Joinery & Carpentry,Repair,ACTIVE
572,"Real Estate, Construction & Home Services",Joinery & Carpentry,Reconstruction,ACTIVE
573,"Real Estate, Construction & Home Services",Joinery & Carpentry,Maintenance,ACTIVE
574,"Real Estate, Construction & Home Services",Joinery & Carpentry,Emergency Call-Out,ACTIVE
575,"Real Estate, Construction & Home Services",Joinery & Carpentry,Turnkey Services,ACTIVE
576,"Real Estate, Construction & Home Services",Joinery & Carpentry,Residential Properties,ACTIVE
577,"Real Estate, Construction & Home Services",Joinery & Carpentry,Commercial Properties,ACTIVE
578,"Real Estate, Construction & Home Services",Cleaning Services,House Cleaning,ACTIVE
579,"Real Estate, Construction & Home Services",Cleaning Services,Apartment Cleaning,ACTIVE
580,"Real Estate, Construction & Home Services",Cleaning Services,Commercial Cleaning,ACTIVE
581,"Real Estate, Construction & Home Services",Cleaning Services,Post-Construction Cleaning,ACTIVE
582,"Real Estate, Construction & Home Services",Cleaning Services,Office Cleaning,ACTIVE
583,"Real Estate, Construction & Home Services",Cleaning Services,Window Cleaning,ACTIVE
584,"Real Estate, Construction & Home Services",Cleaning Services,Upholstery Cleaning,ACTIVE
585,"Real Estate, Construction & Home Services",Cleaning Services,Carpet Cleaning,ACTIVE
586,"Real Estate, Construction & Home Services",Cleaning Services,Airbnb Cleaning,ACTIVE
587,"Real Estate, Construction & Home Services",Cleaning Services,Move-In / Move-Out Cleaning,ACTIVE
588,"Real Estate, Construction & Home Services",Landscaping & Grounds Maintenance,Consultation & Assessment,ACTIVE
589,"Real Estate, Construction & Home Services",Landscaping & Grounds Maintenance,Design & Planning,ACTIVE
590,"Real Estate, Construction & Home Services",Landscaping & Grounds Maintenance,Installation,ACTIVE
591,"Real Estate, Construction & Home Services",Landscaping & Grounds Maintenance,Repair,ACTIVE
592,"Real Estate, Construction & Home Services",Landscaping & Grounds Maintenance,Reconstruction,ACTIVE
593,"Real Estate, Construction & Home Services",Landscaping & Grounds Maintenance,Maintenance,ACTIVE
594,"Real Estate, Construction & Home Services",Landscaping & Grounds Maintenance,Emergency Call-Out,ACTIVE
595,"Real Estate, Construction & Home Services",Landscaping & Grounds Maintenance,Turnkey Services,ACTIVE
596,"Real Estate, Construction & Home Services",Landscaping & Grounds Maintenance,Residential Properties,ACTIVE
597,"Real Estate, Construction & Home Services",Landscaping & Grounds Maintenance,Commercial Properties,ACTIVE
598,"Automotive, Transportation & Logistics",General Auto Repair Shops,Scheduled Maintenance,ACTIVE
599,"Automotive, Transportation & Logistics",General Auto Repair Shops,Brake System Repair,ACTIVE
600,"Automotive, Transportation & Logistics",General Auto Repair Shops,Suspension Repair,ACTIVE
601,"Automotive, Transportation & Logistics",General Auto Repair Shops,Steering Repair,ACTIVE
602,"Automotive, Transportation & Logistics",General Auto Repair Shops,Exhaust System Repair,ACTIVE
603,"Automotive, Transportation & Logistics",General Auto Repair Shops,Air Conditioning Service,ACTIVE
604,"Automotive, Transportation & Logistics",General Auto Repair Shops,Computer Diagnostics,ACTIVE
605,"Automotive, Transportation & Logistics",General Auto Repair Shops,Pre-Purchase Vehicle Inspection,ACTIVE
606,"Automotive, Transportation & Logistics",General Auto Repair Shops,Commercial Vehicle Service,ACTIVE
607,"Automotive, Transportation & Logistics",General Auto Repair Shops,Mobile Mechanic,ACTIVE
608,"Automotive, Transportation & Logistics",General Auto Repair Shops,State / safety inspection,ACTIVE
609,"Automotive, Transportation & Logistics",General Auto Repair Shops,European Vehicle Service,ACTIVE
610,"Automotive, Transportation & Logistics",General Auto Repair Shops,American Vehicle Service,ACTIVE
611,"Automotive, Transportation & Logistics",Engine & Transmission Repair,Gasoline Engine Repair,ACTIVE
612,"Automotive, Transportation & Logistics",Engine & Transmission Repair,Diesel Engine Repair,ACTIVE
613,"Automotive, Transportation & Logistics",Engine & Transmission Repair,Engine Rebuild,ACTIVE
614,"Automotive, Transportation & Logistics",Engine & Transmission Repair,Automatic Transmission Repair,ACTIVE
615,"Automotive, Transportation & Logistics",Engine & Transmission Repair,Manual Transmission Repair,ACTIVE
616,"Automotive, Transportation & Logistics",Engine & Transmission Repair,CVT Repair,ACTIVE
617,"Automotive, Transportation & Logistics",Engine & Transmission Repair,Transfer Case Repair,ACTIVE
618,"Automotive, Transportation & Logistics",Engine & Transmission Repair,Differential Repair,ACTIVE
619,"Automotive, Transportation & Logistics",Engine & Transmission Repair,Engine Diagnostics,ACTIVE
620,"Automotive, Transportation & Logistics",Engine & Transmission Repair,Transmission Diagnostics,ACTIVE
621,"Automotive, Transportation & Logistics",Engine & Transmission Repair,Engine Replacement,ACTIVE
622,"Automotive, Transportation & Logistics",Engine & Transmission Repair,Transmission Replacement,ACTIVE
623,"Automotive, Transportation & Logistics",Auto Body Repair & Collision Centers,Collision Repair,ACTIVE
624,"Automotive, Transportation & Logistics",Auto Body Repair & Collision Centers,Auto Painting,ACTIVE
625,"Automotive, Transportation & Logistics",Auto Body Repair & Collision Centers,Bumper Repair,ACTIVE
626,"Automotive, Transportation & Logistics",Auto Body Repair & Collision Centers,Paintless Dent Repair,ACTIVE
627,"Automotive, Transportation & Logistics",Auto Body Repair & Collision Centers,Frame & Structural Alignment Repair,ACTIVE
628,"Automotive, Transportation & Logistics",Auto Body Repair & Collision Centers,Auto Glass Replacement,ACTIVE
629,"Automotive, Transportation & Logistics",Auto Body Repair & Collision Centers,Hail Damage Repair,ACTIVE
630,"Automotive, Transportation & Logistics",Auto Body Repair & Collision Centers,Insurance Repair,ACTIVE
631,"Automotive, Transportation & Logistics",Auto Body Repair & Collision Centers,Damage Assessment,ACTIVE
632,"Automotive, Transportation & Logistics",Auto Body Repair & Collision Centers,Classic Car Restoration,ACTIVE
633,"Automotive, Transportation & Logistics",Auto Body Repair & Collision Centers,Truck Body Repair,ACTIVE
634,"Automotive, Transportation & Logistics",Tire Shops & Tire Service,Diagnostics,ACTIVE
635,"Automotive, Transportation & Logistics",Tire Shops & Tire Service,Scheduled Maintenance,ACTIVE
636,"Automotive, Transportation & Logistics",Tire Shops & Tire Service,Repair,ACTIVE
637,"Automotive, Transportation & Logistics",Tire Shops & Tire Service,Sales,ACTIVE
638,"Automotive, Transportation & Logistics",Tire Shops & Tire Service,Rental,ACTIVE
639,"Automotive, Transportation & Logistics",Tire Shops & Tire Service,Emergency Assistance,ACTIVE
640,"Automotive, Transportation & Logistics",Tire Shops & Tire Service,Corporate & Fleet Service,ACTIVE
641,"Automotive, Transportation & Logistics",Tire Shops & Tire Service,Passenger Vehicles,ACTIVE
642,"Automotive, Transportation & Logistics",Tire Shops & Tire Service,Commercial Vehicles,ACTIVE
643,"Automotive, Transportation & Logistics",Tire Shops & Tire Service,Heavy-Duty Vehicles,ACTIVE
644,"Automotive, Transportation & Logistics",Auto Electrical & Diagnostics,Diagnostics,ACTIVE
645,"Automotive, Transportation & Logistics",Auto Electrical & Diagnostics,Scheduled Maintenance,ACTIVE
646,"Automotive, Transportation & Logistics",Auto Electrical & Diagnostics,Repair,ACTIVE
647,"Automotive, Transportation & Logistics",Auto Electrical & Diagnostics,Sales,ACTIVE
648,"Automotive, Transportation & Logistics",Auto Electrical & Diagnostics,Rental,ACTIVE
649,"Automotive, Transportation & Logistics",Auto Electrical & Diagnostics,Emergency Assistance,ACTIVE
650,"Automotive, Transportation & Logistics",Auto Electrical & Diagnostics,Corporate & Fleet Service,ACTIVE
651,"Automotive, Transportation & Logistics",Auto Electrical & Diagnostics,Passenger Vehicles,ACTIVE
652,"Automotive, Transportation & Logistics",Auto Electrical & Diagnostics,Commercial Vehicles,ACTIVE
653,"Automotive, Transportation & Logistics",Auto Electrical & Diagnostics,Heavy-Duty Vehicles,ACTIVE
654,"Automotive, Transportation & Logistics",Oil Change & Quick Service,Diagnostics,ACTIVE
655,"Automotive, Transportation & Logistics",Oil Change & Quick Service,Scheduled Maintenance,ACTIVE
656,"Automotive, Transportation & Logistics",Oil Change & Quick Service,Repair,ACTIVE
657,"Automotive, Transportation & Logistics",Oil Change & Quick Service,Sales,ACTIVE
658,"Automotive, Transportation & Logistics",Oil Change & Quick Service,Rental,ACTIVE
659,"Automotive, Transportation & Logistics",Oil Change & Quick Service,Emergency Assistance,ACTIVE
660,"Automotive, Transportation & Logistics",Oil Change & Quick Service,Corporate & Fleet Service,ACTIVE
661,"Automotive, Transportation & Logistics",Oil Change & Quick Service,Passenger Vehicles,ACTIVE
662,"Automotive, Transportation & Logistics",Oil Change & Quick Service,Commercial Vehicles,ACTIVE
663,"Automotive, Transportation & Logistics",Oil Change & Quick Service,Heavy-Duty Vehicles,ACTIVE
664,"Automotive, Transportation & Logistics",Truck & Diesel Repair,Truck repair,ACTIVE
665,"Automotive, Transportation & Logistics",Truck & Diesel Repair,Diesel engine repair,ACTIVE
666,"Automotive, Transportation & Logistics",Truck & Diesel Repair,Semi-Truck Repair,ACTIVE
667,"Automotive, Transportation & Logistics",Truck & Diesel Repair,Trailer Repair,ACTIVE
668,"Automotive, Transportation & Logistics",Truck & Diesel Repair,Mobile truck repair,ACTIVE
669,"Automotive, Transportation & Logistics",Truck & Diesel Repair,Roadside truck assistance,ACTIVE
670,"Automotive, Transportation & Logistics",Truck & Diesel Repair,Truck Brake Repair,ACTIVE
671,"Automotive, Transportation & Logistics",Truck & Diesel Repair,Truck Transmission Repair,ACTIVE
672,"Automotive, Transportation & Logistics",Truck & Diesel Repair,DOT inspection,ACTIVE
673,"Automotive, Transportation & Logistics",Truck & Diesel Repair,Fleet maintenance,ACTIVE
674,"Automotive, Transportation & Logistics",Truck & Diesel Repair,Reefer Unit Repair,ACTIVE
675,"Automotive, Transportation & Logistics",Truck & Diesel Repair,Heavy Equipment Repair,ACTIVE
676,"Automotive, Transportation & Logistics",EV & Hybrid Repair,Diagnostics,ACTIVE
677,"Automotive, Transportation & Logistics",EV & Hybrid Repair,Scheduled Maintenance,ACTIVE
