business_category_id,locale,block,category,subcategory
"739","en","Automotive, Transportation & Logistics","Freight Transportation & Trucking","Last-mile freight"
"740","en","Automotive, Transportation & Logistics","Freight Transportation & Trucking","Moving & Household Goods"
"741","en","Automotive, Transportation & Logistics","Courier & Last-Mile Delivery","Diagnostics"
"742","en","Automotive, Transportation & Logistics","Courier & Last-Mile Delivery","Scheduled Maintenance"
"743","en","Automotive, Transportation & Logistics","Courier & Last-Mile Delivery","Repair"
"744","en","Automotive, Transportation & Logistics","Courier & Last-Mile Delivery","Sales"
"745","en","Automotive, Transportation & Logistics","Courier & Last-Mile Delivery","Rental"
"746","en","Automotive, Transportation & Logistics","Courier & Last-Mile Delivery","Emergency Assistance"
"747","en","Automotive, Transportation & Logistics","Courier & Last-Mile Delivery","Corporate & Fleet Service"
"748","en","Automotive, Transportation & Logistics","Courier & Last-Mile Delivery","Passenger Vehicles"
"749","en","Automotive, Transportation & Logistics","Courier & Last-Mile Delivery","Commercial Vehicles"
"750","en","Automotive, Transportation & Logistics","Courier & Last-Mile Delivery","Heavy-Duty Vehicles"
"751","en","Business & Professional Services","Business Consulting","Consultation"
"752","en","Business & Professional Services","Business Consulting","Current-State Audit"
"753","en","Business & Professional Services","Business Consulting","Strategy Development"
"754","en","Business & Professional Services","Business Consulting","Business Plan Preparation"
"755","en","Business & Professional Services","Business Consulting","Project Launch"
"756","en","Business & Professional Services","Business Consulting","Operational Support"
"757","en","Business & Professional Services","Business Consulting","Team Training"
"758","en","Business & Professional Services","Business Consulting","Solution Selection"
"759","en","Business & Professional Services","Business Consulting","Ongoing Support"
"760","en","Business & Professional Services","Business Consulting","Crisis Management"
"761","en","Business & Professional Services","Business Consulting","International Expansion"
"762","en","Business & Professional Services","Management & Strategy Consulting","Consultation"
"763","en","Business & Professional Services","Management & Strategy Consulting","Current-State Audit"
"764","en","Business & Professional Services","Management & Strategy Consulting","Strategy Development"
"765","en","Business & Professional Services","Management & Strategy Consulting","Business Plan Preparation"
"766","en","Business & Professional Services","Management & Strategy Consulting","Project Launch"
"767","en","Business & Professional Services","Management & Strategy Consulting","Operational Support"
"768","en","Business & Professional Services","Management & Strategy Consulting","Team Training"
"769","en","Business & Professional Services","Management & Strategy Consulting","Solution Selection"
"770","en","Business & Professional Services","Management & Strategy Consulting","Ongoing Support"
"771","en","Business & Professional Services","Management & Strategy Consulting","Crisis Management"
"772","en","Business & Professional Services","Management & Strategy Consulting","International Expansion"
"773","en","Business & Professional Services","Franchises & Franchising","Franchise Directory"
"774","en","Business & Professional Services","Franchises & Franchising","Franchise Development"
"775","en","Business & Professional Services","Franchises & Franchising","Franchise Packaging"
"776","en","Business & Professional Services","Franchises & Franchising","Franchise Sales"
"777","en","Business & Professional Services","Franchises & Franchising","Franchise Acquisition"
"778","en","Business & Professional Services","Franchises & Franchising","Franchise Consulting"
"779","en","Business & Professional Services","Franchises & Franchising","Franchise Legal Support"
"780","en","Business & Professional Services","Franchises & Franchising","Franchise Financial Model"
"781","en","Business & Professional Services","Franchises & Franchising","Franchise Network Marketing"
"782","en","Business & Professional Services","Franchises & Franchising","Franchisee Recruitment"
"783","en","Business & Professional Services","Franchises & Franchising","Franchise Audit"
"784","en","Business & Professional Services","Franchises & Franchising","International Franchising"
"785","en","Business & Professional Services","Franchises & Franchising","Master Franchise"
"786","en","Business & Professional Services","Franchises & Franchising","Franchisee Training"
"787","en","Business & Professional Services","Franchises & Franchising","Franchise Network Management"
"788","en","Business & Professional Services","Buying & Selling Businesses","Consultation"
"789","en","Business & Professional Services","Buying & Selling Businesses","Current-State Audit"
"790","en","Business & Professional Services","Buying & Selling Businesses","Strategy Development"
"791","en","Business & Professional Services","Buying & Selling Businesses","Business Plan Preparation"
"792","en","Business & Professional Services","Buying & Selling Businesses","Project Launch"
"793","en","Business & Professional Services","Buying & Selling Businesses","Operational Support"
"794","en","Business & Professional Services","Buying & Selling Businesses","Team Training"
"795","en","Business & Professional Services","Buying & Selling Businesses","Solution Selection"
"796","en","Business & Professional Services","Buying & Selling Businesses","Ongoing Support"
"797","en","Business & Professional Services","Buying & Selling Businesses","Crisis Management"
"798","en","Business & Professional Services","Investment & Financial Projects","Consultation"
"799","en","Business & Professional Services","Investment & Financial Projects","Current-State Audit"
"800","en","Business & Professional Services","Investment & Financial Projects","Strategy Development"
"801","en","Business & Professional Services","Investment & Financial Projects","Business Plan Preparation"
"802","en","Business & Professional Services","Investment & Financial Projects","Project Launch"
"803","en","Business & Professional Services","Investment & Financial Projects","Operational Support"
"804","en","Business & Professional Services","Investment & Financial Projects","Team Training"
"805","en","Business & Professional Services","Investment & Financial Projects","Solution Selection"
"806","en","Business & Professional Services","Investment & Financial Projects","Ongoing Support"
"807","en","Business & Professional Services","Investment & Financial Projects","Crisis Management"
"808","en","Business & Professional Services","Investment & Financial Projects","International Expansion"
"809","en","Business & Professional Services","HR & Recruitment","Consultation"
"810","en","Business & Professional Services","HR & Recruitment","Current-State Audit"
"811","en","Business & Professional Services","HR & Recruitment","Strategy Development"
"812","en","Business & Professional Services","HR & Recruitment","Business Plan Preparation"
"813","en","Business & Professional Services","HR & Recruitment","Project Launch"
"814","en","Business & Professional Services","HR & Recruitment","Operational Support"
"815","en","Business & Professional Services","HR & Recruitment","Team Training"
"816","en","Business & Professional Services","HR & Recruitment","Solution Selection"
"817","en","Business & Professional Services","HR & Recruitment","Ongoing Support"
"818","en","Business & Professional Services","HR & Recruitment","Crisis Management"
"819","en","Business & Professional Services","HR Administration & Payroll","Consultation"
"820","en","Business & Professional Services","HR Administration & Payroll","Current-State Audit"
"821","en","Business & Professional Services","HR Administration & Payroll","Strategy Development"
"822","en","Business & Professional Services","HR Administration & Payroll","Business Plan Preparation"
"823","en","Business & Professional Services","HR Administration & Payroll","Project Launch"
"824","en","Business & Professional Services","HR Administration & Payroll","Operational Support"
"825","en","Business & Professional Services","HR Administration & Payroll","Team Training"
"826","en","Business & Professional Services","HR Administration & Payroll","Solution Selection"
"827","en","Business & Professional Services","HR Administration & Payroll","Ongoing Support"
"828","en","Business & Professional Services","HR Administration & Payroll","Crisis Management"
"829","en","Business & Professional Services","Business Process Outsourcing","Consultation"
"830","en","Business & Professional Services","Business Process Outsourcing","Current-State Audit"
"831","en","Business & Professional Services","Business Process Outsourcing","Strategy Development"
"832","en","Business & Professional Services","Business Process Outsourcing","Business Plan Preparation"
"833","en","Business & Professional Services","Business Process Outsourcing","Project Launch"
"834","en","Business & Professional Services","Business Process Outsourcing","Operational Support"
"835","en","Business & Professional Services","Business Process Outsourcing","Team Training"
"836","en","Business & Professional Services","Business Process Outsourcing","Solution Selection"
"837","en","Business & Professional Services","Business Process Outsourcing","Ongoing Support"
"838","en","Business & Professional Services","Business Process Outsourcing","Crisis Management"
"839","en","Business & Professional Services","Translation, Localization & Apostille","Written Translation"
"840","en","Business & Professional Services","Translation, Localization & Apostille","Interpretation"
"841","en","Business & Professional Services","Translation, Localization & Apostille","Simultaneous Interpretation"
"842","en","Business & Professional Services","Translation, Localization & Apostille","Notarized Translation"
"843","en","Business & Professional Services","Translation, Localization & Apostille","Sworn Translation"
"844","en","Business & Professional Services","Translation, Localization & Apostille","Website & App Localization"
"845","en","Business & Professional Services","Translation, Localization & Apostille","Legal Document Translation"
"846","en","Business & Professional Services","Translation, Localization & Apostille","Medical Document Translation"
"847","en","Business & Professional Services","Translation, Localization & Apostille","Apostille"
"848","en","Business & Professional Services","Translation, Localization & Apostille","Document Legalization"
"849","en","Business & Professional Services","Translation, Localization & Apostille","Consular Authentication"
"850","en","Business & Professional Services","Translation, Localization & Apostille","Immigration Translation"
"851","en","Business & Professional Services","Translation, Localization & Apostille","Subtitle Translation"
"852","en","Business & Professional Services","Certification, Licensing & Compliance","Consultation"
"853","en","Business & Professional Services","Certification, Licensing & Compliance","Current-State Audit"
"854","en","Business & Professional Services","Certification, Licensing & Compliance","Strategy Development"
"855","en","Business & Professional Services","Certification, Licensing & Compliance","Business Plan Preparation"
"856","en","Business & Professional Services","Certification, Licensing & Compliance","Project Launch"
"857","en","Business & Professional Services","Certification, Licensing & Compliance","Operational Support"
"858","en","Business & Professional Services","Certification, Licensing & Compliance","Team Training"
"859","en","Business & Professional Services","Certification, Licensing & Compliance","Solution Selection"
"860","en","Business & Professional Services","Certification, Licensing & Compliance","Ongoing Support"
"861","en","Business & Professional Services","Certification, Licensing & Compliance","Crisis Management"
"862","en","Business & Professional Services","Coworking & Virtual Offices","Consultation"
"863","en","Business & Professional Services","Coworking & Virtual Offices","Current-State Audit"
"864","en","Business & Professional Services","Coworking & Virtual Offices","Strategy Development"
"865","en","Business & Professional Services","Coworking & Virtual Offices","Business Plan Preparation"
"866","en","Business & Professional Services","Coworking & Virtual Offices","Project Launch"
"867","en","Business & Professional Services","Coworking & Virtual Offices","Operational Support"
"868","en","Business & Professional Services","Coworking & Virtual Offices","Team Training"
"869","en","Business & Professional Services","Coworking & Virtual Offices","Solution Selection"
"870","en","Business & Professional Services","Coworking & Virtual Offices","Ongoing Support"
"871","en","Business & Professional Services","Coworking & Virtual Offices","Crisis Management"
"872","en","Business & Professional Services","Customs Brokers & Foreign Trade Support","Consultation"
"873","en","Business & Professional Services","Customs Brokers & Foreign Trade Support","Current-State Audit"
"874","en","Business & Professional Services","Customs Brokers & Foreign Trade Support","Strategy Development"
"875","en","Business & Professional Services","Customs Brokers & Foreign Trade Support","Business Plan Preparation"
"876","en","Business & Professional Services","Customs Brokers & Foreign Trade Support","Project Launch"
"877","en","Business & Professional Services","Customs Brokers & Foreign Trade Support","Operational Support"
"878","en","Business & Professional Services","Customs Brokers & Foreign Trade Support","Team Training"
"879","en","Business & Professional Services","Customs Brokers & Foreign Trade Support","Solution Selection"
"880","en","Business & Professional Services","Customs Brokers & Foreign Trade Support","Ongoing Support"
"881","en","Business & Professional Services","Customs Brokers & Foreign Trade Support","Crisis Management"
"882","en","Business & Professional Services","Business Security","Consultation"
"883","en","Business & Professional Services","Business Security","Current-State Audit"
"884","en","Business & Professional Services","Business Security","Strategy Development"
"885","en","Business & Professional Services","Business Security","Business Plan Preparation"
"886","en","Business & Professional Services","Business Security","Project Launch"
"887","en","Business & Professional Services","Business Security","Operational Support"
"888","en","Business & Professional Services","Business Security","Team Training"
"889","en","Business & Professional Services","Business Security","Solution Selection"
"890","en","Business & Professional Services","Business Security","Ongoing Support"
"891","en","Business & Professional Services","Business Security","Crisis Management"
"892","en","Manufacturing, Trade & Agriculture","Manufacturing Companies","Custom Manufacturing"
"893","en","Manufacturing, Trade & Agriculture","Manufacturing Companies","Mass Production"
"894","en","Manufacturing, Trade & Agriculture","Manufacturing Companies","Wholesale Supply"
"895","en","Manufacturing, Trade & Agriculture","Manufacturing Companies","Retail Sales"
"896","en","Manufacturing, Trade & Agriculture","Manufacturing Companies","Contract Manufacturing"
"897","en","Manufacturing, Trade & Agriculture","Manufacturing Companies","Private label"
"898","en","Manufacturing, Trade & Agriculture","Manufacturing Companies","Export"
"899","en","Manufacturing, Trade & Agriculture","Manufacturing Companies","Import"
"900","en","Manufacturing, Trade & Agriculture","Manufacturing Companies","Project Procurement"
"901","en","Manufacturing, Trade & Agriculture","Manufacturing Companies","Maintenance"
"902","en","Manufacturing, Trade & Agriculture","Manufacturing Companies","Corporate Procurement"
"903","en","Manufacturing, Trade & Agriculture","Manufacturing Companies","Custom Products"
"904","en","Manufacturing, Trade & Agriculture","Wholesale Trade & Distribution","Custom Manufacturing"
"905","en","Manufacturing, Trade & Agriculture","Wholesale Trade & Distribution","Mass Production"
"906","en","Manufacturing, Trade & Agriculture","Wholesale Trade & Distribution","Wholesale Supply"
"907","en","Manufacturing, Trade & Agriculture","Wholesale Trade & Distribution","Retail Sales"
"908","en","Manufacturing, Trade & Agriculture","Wholesale Trade & Distribution","Contract Manufacturing"
"909","en","Manufacturing, Trade & Agriculture","Wholesale Trade & Distribution","Private label"
"910","en","Manufacturing, Trade & Agriculture","Wholesale Trade & Distribution","Export"
"911","en","Manufacturing, Trade & Agriculture","Wholesale Trade & Distribution","Import"
"912","en","Manufacturing, Trade & Agriculture","Wholesale Trade & Distribution","Project Procurement"
"913","en","Manufacturing, Trade & Agriculture","Wholesale Trade & Distribution","Maintenance"
"914","en","Manufacturing, Trade & Agriculture","Wholesale Trade & Distribution","Corporate Procurement"
"915","en","Manufacturing, Trade & Agriculture","Wholesale Trade & Distribution","Custom Products"
"916","en","Manufacturing, Trade & Agriculture","Retail Stores","Custom Manufacturing"
"917","en","Manufacturing, Trade & Agriculture","Retail Stores","Mass Production"
"918","en","Manufacturing, Trade & Agriculture","Retail Stores","Wholesale Supply"
"919","en","Manufacturing, Trade & Agriculture","Retail Stores","Retail Sales"
"920","en","Manufacturing, Trade & Agriculture","Retail Stores","Contract Manufacturing"
"921","en","Manufacturing, Trade & Agriculture","Retail Stores","Private label"
"922","en","Manufacturing, Trade & Agriculture","Retail Stores","Export"
"923","en","Manufacturing, Trade & Agriculture","Retail Stores","Import"
"924","en","Manufacturing, Trade & Agriculture","Retail Stores","Project Procurement"
"925","en","Manufacturing, Trade & Agriculture","Retail Stores","Maintenance"
"926","en","Manufacturing, Trade & Agriculture","Online Stores & Marketplaces","Custom Manufacturing"
"927","en","Manufacturing, Trade & Agriculture","Online Stores & Marketplaces","Mass Production"
"928","en","Manufacturing, Trade & Agriculture","Online Stores & Marketplaces","Wholesale Supply"
"929","en","Manufacturing, Trade & Agriculture","Online Stores & Marketplaces","Retail Sales"
"930","en","Manufacturing, Trade & Agriculture","Online Stores & Marketplaces","Contract Manufacturing"
"931","en","Manufacturing, Trade & Agriculture","Online Stores & Marketplaces","Private label"
"932","en","Manufacturing, Trade & Agriculture","Online Stores & Marketplaces","Export"
"933","en","Manufacturing, Trade & Agriculture","Online Stores & Marketplaces","Import"
"934","en","Manufacturing, Trade & Agriculture","Online Stores & Marketplaces","Project Procurement"
"935","en","Manufacturing, Trade & Agriculture","Online Stores & Marketplaces","Maintenance"
"936","en","Manufacturing, Trade & Agriculture","Export & Import","Custom Manufacturing"
"937","en","Manufacturing, Trade & Agriculture","Export & Import","Mass Production"
"938","en","Manufacturing, Trade & Agriculture","Export & Import","Wholesale Supply"
"939","en","Manufacturing, Trade & Agriculture","Export & Import","Retail Sales"
"940","en","Manufacturing, Trade & Agriculture","Export & Import","Contract Manufacturing"
"941","en","Manufacturing, Trade & Agriculture","Export & Import","Private label"
"942","en","Manufacturing, Trade & Agriculture","Export & Import","Export"
"943","en","Manufacturing, Trade & Agriculture","Export & Import","Import"
"944","en","Manufacturing, Trade & Agriculture","Export & Import","Project Procurement"
"945","en","Manufacturing, Trade & Agriculture","Export & Import","Maintenance"
"946","en","Manufacturing, Trade & Agriculture","Equipment Suppliers","Custom Manufacturing"
"947","en","Manufacturing, Trade & Agriculture","Equipment Suppliers","Mass Production"
"948","en","Manufacturing, Trade & Agriculture","Equipment Suppliers","Wholesale Supply"
"949","en","Manufacturing, Trade & Agriculture","Equipment Suppliers","Retail Sales"
"950","en","Manufacturing, Trade & Agriculture","Equipment Suppliers","Contract Manufacturing"
"951","en","Manufacturing, Trade & Agriculture","Equipment Suppliers","Private label"
"952","en","Manufacturing, Trade & Agriculture","Equipment Suppliers","Export"
"953","en","Manufacturing, Trade & Agriculture","Equipment Suppliers","Import"
"954","en","Manufacturing, Trade & Agriculture","Equipment Suppliers","Project Procurement"
"955","en","Manufacturing, Trade & Agriculture","Equipment Suppliers","Maintenance"
"956","en","Manufacturing, Trade & Agriculture","Industrial Repair & Maintenance","Custom Manufacturing"
"957","en","Manufacturing, Trade & Agriculture","Industrial Repair & Maintenance","Mass Production"
"958","en","Manufacturing, Trade & Agriculture","Industrial Repair & Maintenance","Wholesale Supply"
"959","en","Manufacturing, Trade & Agriculture","Industrial Repair & Maintenance","Retail Sales"
"960","en","Manufacturing, Trade & Agriculture","Industrial Repair & Maintenance","Contract Manufacturing"
"961","en","Manufacturing, Trade & Agriculture","Industrial Repair & Maintenance","Private label"
"962","en","Manufacturing, Trade & Agriculture","Industrial Repair & Maintenance","Export"
"963","en","Manufacturing, Trade & Agriculture","Industrial Repair & Maintenance","Import"
"964","en","Manufacturing, Trade & Agriculture","Industrial Repair & Maintenance","Project Procurement"
"965","en","Manufacturing, Trade & Agriculture","Industrial Repair & Maintenance","Maintenance"
"966","en","Manufacturing, Trade & Agriculture","Food Manufacturing","Custom Manufacturing"
"967","en","Manufacturing, Trade & Agriculture","Food Manufacturing","Mass Production"
"968","en","Manufacturing, Trade & Agriculture","Food Manufacturing","Wholesale Supply"
"969","en","Manufacturing, Trade & Agriculture","Food Manufacturing","Retail Sales"
"970","en","Manufacturing, Trade & Agriculture","Food Manufacturing","Contract Manufacturing"
"971","en","Manufacturing, Trade & Agriculture","Food Manufacturing","Private label"
"972","en","Manufacturing, Trade & Agriculture","Food Manufacturing","Export"
"973","en","Manufacturing, Trade & Agriculture","Food Manufacturing","Import"
"974","en","Manufacturing, Trade & Agriculture","Food Manufacturing","Project Procurement"
"975","en","Manufacturing, Trade & Agriculture","Food Manufacturing","Maintenance"
"976","en","Manufacturing, Trade & Agriculture","Light Industry & Apparel","Custom Manufacturing"
"977","en","Manufacturing, Trade & Agriculture","Light Industry & Apparel","Mass Production"
"978","en","Manufacturing, Trade & Agriculture","Light Industry & Apparel","Wholesale Supply"
"979","en","Manufacturing, Trade & Agriculture","Light Industry & Apparel","Retail Sales"
"980","en","Manufacturing, Trade & Agriculture","Light Industry & Apparel","Contract Manufacturing"
"981","en","Manufacturing, Trade & Agriculture","Light Industry & Apparel","Private label"
"982","en","Manufacturing, Trade & Agriculture","Light Industry & Apparel","Export"
"983","en","Manufacturing, Trade & Agriculture","Light Industry & Apparel","Import"
"984","en","Manufacturing, Trade & Agriculture","Light Industry & Apparel","Project Procurement"
"985","en","Manufacturing, Trade & Agriculture","Light Industry & Apparel","Maintenance"
"986","en","Manufacturing, Trade & Agriculture","Furniture Manufacturing","Custom Manufacturing"
"987","en","Manufacturing, Trade & Agriculture","Furniture Manufacturing","Mass Production"
"988","en","Manufacturing, Trade & Agriculture","Furniture Manufacturing","Wholesale Supply"
"989","en","Manufacturing, Trade & Agriculture","Furniture Manufacturing","Retail Sales"
"990","en","Manufacturing, Trade & Agriculture","Furniture Manufacturing","Contract Manufacturing"
"991","en","Manufacturing, Trade & Agriculture","Furniture Manufacturing","Private label"
"992","en","Manufacturing, Trade & Agriculture","Furniture Manufacturing","Export"
"993","en","Manufacturing, Trade & Agriculture","Furniture Manufacturing","Import"
"994","en","Manufacturing, Trade & Agriculture","Furniture Manufacturing","Project Procurement"
"995","en","Manufacturing, Trade & Agriculture","Furniture Manufacturing","Maintenance"
"996","en","Manufacturing, Trade & Agriculture","Furniture Manufacturing","Corporate Procurement"
"997","en","Manufacturing, Trade & Agriculture","Furniture Manufacturing","Custom Products"
"998","en","Manufacturing, Trade & Agriculture","Building Materials","Custom Manufacturing"
"999","en","Manufacturing, Trade & Agriculture","Building Materials","Mass Production"
"1000","en","Manufacturing, Trade & Agriculture","Building Materials","Wholesale Supply"
"1001","en","Manufacturing, Trade & Agriculture","Building Materials","Retail Sales"
"1002","en","Manufacturing, Trade & Agriculture","Building Materials","Contract Manufacturing"
"1003","en","Manufacturing, Trade & Agriculture","Building Materials","Private label"
"1004","en","Manufacturing, Trade & Agriculture","Building Materials","Export"
"1005","en","Manufacturing, Trade & Agriculture","Building Materials","Import"
"1006","en","Manufacturing, Trade & Agriculture","Building Materials","Project Procurement"
"1007","en","Manufacturing, Trade & Agriculture","Building Materials","Maintenance"
"1008","en","Manufacturing, Trade & Agriculture","Printing & Packaging","Custom Manufacturing"
"1009","en","Manufacturing, Trade & Agriculture","Printing & Packaging","Mass Production"
"1010","en","Manufacturing, Trade & Agriculture","Printing & Packaging","Wholesale Supply"
"1011","en","Manufacturing, Trade & Agriculture","Printing & Packaging","Retail Sales"
"1012","en","Manufacturing, Trade & Agriculture","Printing & Packaging","Contract Manufacturing"
"1013","en","Manufacturing, Trade & Agriculture","Printing & Packaging","Private label"
"1014","en","Manufacturing, Trade & Agriculture","Printing & Packaging","Export"
"1015","en","Manufacturing, Trade & Agriculture","Printing & Packaging","Import"
"1016","en","Manufacturing, Trade & Agriculture","Printing & Packaging","Project Procurement"
"1017","en","Manufacturing, Trade & Agriculture","Printing & Packaging","Maintenance"
"1018","en","Manufacturing, Trade & Agriculture","Agriculture & Agricultural Services","Custom Manufacturing"
"1019","en","Manufacturing, Trade & Agriculture","Agriculture & Agricultural Services","Mass Production"
"1020","en","Manufacturing, Trade & Agriculture","Agriculture & Agricultural Services","Wholesale Supply"
"1021","en","Manufacturing, Trade & Agriculture","Agriculture & Agricultural Services","Retail Sales"
"1022","en","Manufacturing, Trade & Agriculture","Agriculture & Agricultural Services","Contract Manufacturing"
"1023","en","Manufacturing, Trade & Agriculture","Agriculture & Agricultural Services","Private label"
"1024","en","Manufacturing, Trade & Agriculture","Agriculture & Agricultural Services","Export"
"1025","en","Manufacturing, Trade & Agriculture","Agriculture & Agricultural Services","Import"
"1026","en","Manufacturing, Trade & Agriculture","Agriculture & Agricultural Services","Project Procurement"
"1027","en","Manufacturing, Trade & Agriculture","Agriculture & Agricultural Services","Maintenance"
"1028","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Corporate Websites"
"1029","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Online Stores"
"1030","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Landing Pages"
"1031","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Product & Service Catalogs"
"1032","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Marketplaces"
"1033","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Portals & User Accounts"
"1034","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Website Redesign"
"1035","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Frontend Development"
"1036","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Backend Development"
"1037","en","IT, Marketing, Design & Media","Website Development & E-Commerce","CMS Development"
"1038","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Payment Gateway Integration"
"1039","en","IT, Marketing, Design & Media","Website Development & E-Commerce","CRM & ERP Integration"
"1040","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Website Support"
"1041","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Performance Optimization"
"1042","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Multilingual Websites"
"1043","en","IT, Marketing, Design & Media","Website Development & E-Commerce","Accessibility & ADA/WCAG"
"1044","en","IT, Marketing, Design & Media","Software Development","Audit & Consultation"
"1045","en","IT, Marketing, Design & Media","Software Development","Development from Scratch"
"1046","en","IT, Marketing, Design & Media","Software Development","Enhancement & Modernization"
"1047","en","IT, Marketing, Design & Media","Software Development","Integration"
"1048","en","IT, Marketing, Design & Media","Software Development","Technical Support"
"1049","en","IT, Marketing, Design & Media","Software Development","Outsourcing"
"1050","en","IT, Marketing, Design & Media","Software Development","Implementation"
"1051","en","IT, Marketing, Design & Media","Software Development","User Training"
"1052","en","IT, Marketing, Design & Media","Software Development","Enterprise Solutions"
"1053","en","IT, Marketing, Design & Media","Software Development","Mobile Solutions"
"1054","en","IT, Marketing, Design & Media","Software Development","Cloud Solutions"
"1055","en","IT, Marketing, Design & Media","Software Development","Analytics"
"1056","en","IT, Marketing, Design & Media","Software Development","Information Security"
"1057","en","IT, Marketing, Design & Media","Mobile Applications","Audit & Consultation"
"1058","en","IT, Marketing, Design & Media","Mobile Applications","Development from Scratch"
"1059","en","IT, Marketing, Design & Media","Mobile Applications","Enhancement & Modernization"
"1060","en","IT, Marketing, Design & Media","Mobile Applications","Integration"
"1061","en","IT, Marketing, Design & Media","Mobile Applications","Technical Support"
"1062","en","IT, Marketing, Design & Media","Mobile Applications","Outsourcing"
"1063","en","IT, Marketing, Design & Media","Mobile Applications","Implementation"
"1064","en","IT, Marketing, Design & Media","Mobile Applications","User Training"
"1065","en","IT, Marketing, Design & Media","Mobile Applications","Enterprise Solutions"
"1066","en","IT, Marketing, Design & Media","Mobile Applications","Mobile Solutions"
"1067","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","AI Consulting"
"1068","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","Chatbots"
"1069","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","Voice Assistants"
"1070","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","AI Agents"
"1071","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","Business Process Automation"
"1072","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","AI Document Processing"
"1073","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","Analytics & Forecasting"
"1074","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","Computer Vision"
"1075","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","Speech Recognition"
"1076","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","Content Generation"
"1077","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","Recommendation Systems"
"1078","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","AI Integration with CRM"
"1079","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","Customer Support Automation"
"1080","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","Corporate Knowledge Bases"
"1081","en","IT, Marketing, Design & Media","Artificial Intelligence & Automation","AI Staff Training"
"1082","en","IT, Marketing, Design & Media","Cloud Infrastructure & DevOps","Audit & Consultation"
"1083","en","IT, Marketing, Design & Media","Cloud Infrastructure & DevOps","Development from Scratch"
"1084","en","IT, Marketing, Design & Media","Cloud Infrastructure & DevOps","Enhancement & Modernization"
"1085","en","IT, Marketing, Design & Media","Cloud Infrastructure & DevOps","Integration"
"1086","en","IT, Marketing, Design & Media","Cloud Infrastructure & DevOps","Technical Support"
"1087","en","IT, Marketing, Design & Media","Cloud Infrastructure & DevOps","Outsourcing"
"1088","en","IT, Marketing, Design & Media","Cloud Infrastructure & DevOps","Implementation"
"1089","en","IT, Marketing, Design & Media","Cloud Infrastructure & DevOps","User Training"
"1090","en","IT, Marketing, Design & Media","Cloud Infrastructure & DevOps","Enterprise Solutions"
"1091","en","IT, Marketing, Design & Media","Cloud Infrastructure & DevOps","Mobile Solutions"
"1092","en","IT, Marketing, Design & Media","Cybersecurity","Audit & Consultation"
"1093","en","IT, Marketing, Design & Media","Cybersecurity","Development from Scratch"
"1094","en","IT, Marketing, Design & Media","Cybersecurity","Enhancement & Modernization"
"1095","en","IT, Marketing, Design & Media","Cybersecurity","Integration"
"1096","en","IT, Marketing, Design & Media","Cybersecurity","Technical Support"
"1097","en","IT, Marketing, Design & Media","Cybersecurity","Outsourcing"
"1098","en","IT, Marketing, Design & Media","Cybersecurity","Implementation"
"1099","en","IT, Marketing, Design & Media","Cybersecurity","User Training"
"1100","en","IT, Marketing, Design & Media","Cybersecurity","Enterprise Solutions"
"1101","en","IT, Marketing, Design & Media","Cybersecurity","Mobile Solutions"
"1102","en","IT, Marketing, Design & Media","IT Support & Systems Administration","Audit & Consultation"
"1103","en","IT, Marketing, Design & Media","IT Support & Systems Administration","Development from Scratch"
"1104","en","IT, Marketing, Design & Media","IT Support & Systems Administration","Enhancement & Modernization"
"1105","en","IT, Marketing, Design & Media","IT Support & Systems Administration","Integration"
"1106","en","IT, Marketing, Design & Media","IT Support & Systems Administration","Technical Support"
"1107","en","IT, Marketing, Design & Media","IT Support & Systems Administration","Outsourcing"
"1108","en","IT, Marketing, Design & Media","IT Support & Systems Administration","Implementation"
"1109","en","IT, Marketing, Design & Media","IT Support & Systems Administration","User Training"
"1110","en","IT, Marketing, Design & Media","IT Support & Systems Administration","Enterprise Solutions"
